DateCreated,Title,Citations,AverageCitations,Decision,APPLICATION...COMMENTS.FROM.PANEL,Simulation.Package.Name,X3.1..Published.in.peer.reviewed.journals..The.publication.does.not.have.to.focus.on.the.simulator..but.should.describe.the.simulation.method.and.applications.clearly.,Comments..7,X3.2..List.typical.applications.in.the..Applications..tab.of.the.GSR.entry.of.the.simulator..The.author.needs.to.identify.typical.application.s..of.the.simulator.and.list.publications.that.use.the.simulator.on.GSR..The.publications.listed.should.use.the.simulator.to.simulate.data..Publications.that.only.mention.the.software.packages..e.g..in.a.discussion.section.or.review.article..should.not.be.included.because.these.publications.do.not.reflect.use.of.the.package..or.an.application.,Comments..8,X3.3..Used.and.cited.by.at.least.5.external.users.in.the.past.5.years..or.twice.in.the.past.year..as.demonstrated.by.citations.listed.in.the.Applications.tab..External.users.refer.to.people.or.researchers.who.are.not.one.of.the.package.authors.or.directly.affiliated.with.the.authors.,Comments..9,X3.4..OVERALL.CERTIFICATION.FOR.APPLICATION..1,Initial.Reviewer.Overall.Comments.,Review.Committee.Overall.Comments.,FINAL.DECISION
10/6/2011,454sim,14,1.182049503,Review,454sim is not published,454sim,No,454sim is not published,No,454sim is not published,No,454sim is not published,NO,"454sim  is very old and has not been published or used

Accessibility: yes
documentation: no
application: no
support: no",,
6/8/2021,AdmixSim2,1,0.554711246,New,,,,,,,,,,,,
12/1/2014,Aladyn,4,0.433105903,X,"There is currently no known applications of Aladyn by users other than its authors.

LM - I was able to find this publication for Aladyn (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4330972/). This could be a primary citation for Aladyn, and they say the other article was created with this tool.  However, I agree that overall, we should not approve application.

MR: Agree with Leah, PMC4330972 should be the primary citation for Aladyn. Overall I would no grant the Application certification.",Aladyn,No,"Aladyn is suspected to be used in ""Limited evolutionary rescue under habitat heterogeneity"" by Schiffers K, Bourne E, Lavergne S, Thuiller W and Travis JMJ (2013) (http://rstb.royalsocietypublishing.org/content/royptb/368/1610/20120083.full.pdf) but the paper does not mention the name Aladyn.

MR: I'd say yes, based on the paper ""ALADYN – a spatially explicit, allelic model for simulating adaptive dynamics"" by Katja H Schiffers, Justin MJ Travis Ecography (Cop.) 2014 Dec 1; 37(12): 1288–1291. doi: 10.1111/ecog.00680 PMCID: PMC4330972",No,The authors have not listed applications of Aladyn in GSR or the software homepage.,No,There is currently no known citation for Aladyn.,NO,Aladyn is a typical example of software packages written for particular research topics. It was made available to others with minimal documentation and support.,"I agree with the assessment from Bo.  The author seems not interested in maintaining the package.   It certainly does not meet the majority of the criteria for certification. 

LM - I agree.  If the authors can point us to more information and update their documentation, we could re-consider.

MR: Yes to Accessibility and Documentation; No to Application and Support. Hard to say overall since I'm split by half for the 4 criteria.","Accessibility – Y
Documentation – we decided Y and to ask that they put the readme on the main page.
Application – N
Support – N
(final -10/18/16)"
12/8/2011,ALF,70,6.164053076,Review,"We cannot certify ALF for application due to a lack of example applications, which should be easy to fix.

LM - agree, only issue with ALF is that it is missing the GSR info.",ALF,Yes,"ALF was published in peer-reviewed journal, Mol Biol Evol.
The publication of ALF described the simulation method and applications clearly.",No,No example publication using ALF has been provided in the “Applications” tab of the GSR entry of the simulator.,Yes,ALF was used and cited by at least 5 external users in the past 5 years.,NO,ALF is with many users and applications but we could not identify any license information. ,"The link to the package is not working.    

LM - it appears that we would only award Documentation and say No to accessibility (no license info), Application (no GSR info) and Support (need info about how users get notified.)",
8/6/2012,Ana-FiTS,7,0.648312611,Review,Ana-FITS was not published,Ana-FITS,No,Ana-FITS was not published,No,No application is listed on Ana-FITS's GSR page,No,Ana-FITS was not cited,NO,"Accessibility: yes, on github, GPL license
Documentation: Yes
Application: Not published
Support: No issue raised since 2012
","MR: Accessibility, Documentation",
6/15/2015,ARGON,13,1.594957983,Review,"Applications of ARGON was not listed.
",ARGON,Yes,"ARGON is published
",No,"Applications of ARGON is not listed under GSR.
",Yes,"ARGON has been cited 10 times according to PMC but it is unclear if they are applications.
",NO,"ARGON is decent but not popular. It was supported a few years ago but support status is unclear now
","Accessibility: yes
Documentation: yes
Application: No
Support: yes

HSC:  
No attribute/details in GSR
Accessibility: yes
Documentation: yes 
Application: No 
Support:  Maybe

MR: Yes to Accessibility, Documentation and Support. No to Applications (potential yes)",
1/1/2009,Bayesian Serial SimCoal,61,2.67801299,Review,"The applications tab of the GSR entry of Bayesian Serial SimCoal needs to be updated.
LM - agree",Bayesian Serial SimCoal,Yes,"Bayesian Serial SimCoal was published in peer-reviewed journal, J Hered.
The publication of Bayesian Serial SimCoal described the simulation method and applications clearly.",No,No example publication using Bayesian Serial SimCoal has been provided in the “Applications” tab of the GSR entry of the simulator.,Yes,"Bayesian Serial SimCoal was used and cited by at least 5 external users in the past 5 years.
",NO,"Bayesian Serial SimCoal could be fully certified with the addition of sample applications and license and support information.
","HSC -- agree with the initial reviewers' assessment. 
LM - ok - certify for documentation but not others",
4/27/2014,BaySICS,1,0.107701387,X,"BayCICS is started to get used but it needs to update its GSR entry.

MR: No to application; only 3 citations, none reported in GSR.",BaySICS,Yes,"BaySICS was published in peer-reviewed journal, PLoS One.
The publication described the simulation method and applications clearly.",No,No example publication using BaySICS has been provided in the “Applications” tab of the GSR entry of the simulator.,Yes,BaySICS have been used twice in 2017 according to https://www.scopus.com/results/citedbyresults.uri?sort=plf-f&cite=2-s2.0-84901431095&src=s&imp=t&sid=13b4199c0853da59119e3c20e295b545&sot=cite&sdt=a&sl=0&origin=inward&editSaveSearch=&txGid=57c0811bb170293a55a76cc5747c36e9 ,NO,"BaySICS is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add citations, fixing the link to documentation at homepage and fix its GSR entry.

","MR: Ok to accessibility conditional on adding license info. OK to documentation conditional on fixing link from homepage.  No to application; only 3 citations, none reported in GSR.  MR: No to support - we could ask about that as have done for other packages.
",
9/15/2011,BEERS,187,15.71247698,Review,"BEERS are widely used but its GSR entry needs to be updated with applications.

LM - agree.",BEERS,Yes,"BEERS was published in peer-reviewed journal, Bioinformatics.
The publication described the simulation method and applications clearly.",No,No example publication using BEERS has been provided in the “Applications” tab of the GSR entry of the simulator.,Yes,BEERS is used and cited by at least 5 external users in the past 5 years.,NO,"Although it is lack of the evidences of response to user inquiries and support for users can be found, BEERS is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add the information of license, applications, and support.
","Maybe Documentation - but no to ac, Ap and Support.",
12/1/2018,bmsim,12,2.561403509,Review,BMSIM is not published and not cited.,BMSIM,No,BMSim is not published in peer-reviewed journal,No,There is no citation for BMSIM listed under GSR,No,There is no citation,NO,"The author released BMSIM on github and never took care of it, and the tool is not published or cited.","Accessibility: yes (on github)
Documentation: borderline but no, not detailed enough
Application: not published, not cited
Support: with an issue tracker but the author did not respond to users' questions

MR: Yes only to Accessibility.

HSC:  Accessibility: Yes.   All others: No.  Also lacks details in GSR website",
10/9/2003,BottleSim,107,5.39284728,Review,"BOTTLESIM has been actively used but it lacks list of applications in its GSR entry.
LM - agree",BottleSim,Yes,"BottleSim was published in peer-reviewed journal, Molecular Ecology Notes.
The publication described the simulation method and applications clearly.",No,No example publication using BottleSim has been provided in the “Applications” tab of the GSR entry of the simulator.,Yes,BottleSim is used and cited by at least 5 external users in the past 5 years.,NO,"BOTTLESIM has been actively used (cited by 57 articles according to CrossRef). Although it is not actively maintained, it could be certified for accessibility, documentation, and applications if the authors could update its GSR entry.","HSC-- Agree with the initial reviewer's overall comments.
LM - I think we give acc and doc - I would consider support...",
9/19/2014,CAMISIM,65,8.217873225,Review,Need citaitons for CAMISIM but we could add. ,CAMISIM,Yes,CAMISIM is published in peer-reviewed journals,No,CAMISIM  lacks listed applications on GSR,Yes,CAMISIM has 27 citations,NO,CAMISIM is decent and widely used,"accessibility: yes
documentation: yes
application: need citation list
documentation: yes

HSC-
Yes to all except Application

MR: Yes to Accessibility; Yes to Documentation; No to Application (not enough citations); Yes to Support.",
3/28/2019,CAMPAREE,1,0.233226837,X,CAMPAREE does not have a decent application.,CAMPAREE,Yes,CAMPAREE is published in a peer-reviewed journal.,No,No citations are listed under the applications tab of CAMPAREE’s GSR entry.,No,CAMPAREE has only been cited once in the past year.,NO,"Accessibility: yes
Documentation: yes
Application: no (CAMPAREE has only been cited once in the past year)
Support: yes (CAMPAREE has a decent issue tracker)","Agree.

MR: Yes to all but Application (no citations)",
5/25/2016,CancerInSilico,1,0.13878327,X,CancerInSilico is too new to have any citation,CancerInSilico,Yes,CancerInSilico is published in a peer-reviewed journal.,No,CancerInSilico does not have enough citations.,No,CancerInSilico does not have enough citations.,NO,"Accessibility: yes
Documentation: yes
Application: no
Support: yes (no issue raised)","This is a standard bioconductor package, it is too new to have any issue or citation, but otherwise decent.

HSC: Agree with initial review.   Also, the website ""Detail"" tab is empty

https://surveillance.cancer.gov/genetic-simulation-resources/packages/cancerinsilico/#tab-detailed 

MR: ok
",
11/13/2012,CASS,7,0.651952029,Review,"CDPOP appears to be used and cited by the research community although no citations are listed in its GSR entries.

LM - only item missing is the GSR entry being updated.",CDPOP,Yes,"CDPOP was published in peer-reviewed journal, Genetics.
The publication described the simulation method and applications clearly.",No,No example publication using CDPOP has been provided in the “Applications” tab of the GSR entry of the simulator.,Yes,CDPOP is used and cited by at least 5 external users in the past 5 years.,NO,"Although the homepage of CDPOP is outdated, CDPOP is a well-maintained package and has the potential to be fully certified if the authors respond to our request to provide the information of license.
","HSC- The link does not work.  Not easy to install. 
LM - I think we should give this package documentation and support; Application if they update the GSR entry and Accessibility if the installers can be found?",Fully certified after responded.
2/27/2018,CellCoal,8,1.469552089,Review,CellCoal has one likely application,CellCoal,Yes,CellCoal is published in a peer reviewed journal,No,No applications listed for CellCoal,No,"CellCoal has 5 citations, 1 likely application",NO,"accessibility: no license
documentation: ok
application: no, only one application
support: ok","agreed. BP

HSC:
accessibility: no 
documentation: yes
application: no
support: Not sure?

MR: No Accessibility (lack license); Yes Documentation; No Application (no citations); Yes Support (some issues should be marked as close since the author responded).
",
9/17/2014,Clotho,0,0,X,Clotho was not published or cited,Clotho,No,Clotho was not published,No,No application was listed for Clotho,No,Clotho was not cited,NO,"Accessibility: yes, on github, Apache license
Documentation: No, in ods format, cannot view
Application: No. 
Support: No. One ticket responded in 2015
",MR: Accessibility,
2/24/2014,Coala,10,1.057664445,Review,,,,,,,,,,,,
4/18/2016,cophesim,1,0.136857893,X,"cophesim was not cited frequent enough,",cophesim,Yes,,No,Applications of cophesim is not listed,No,cophesim was only cited once in the past few years according to PMC,NO,"cophesim is on bitbucket but is not used (cited), and there is no evidence of support.","Accessibility: no license, easy to fix
Documentation: yes
Application: not listed, and no citation either
Support: issue track not accessible.

HSC: 
Accessibility: General Notes -- All software is published under the MIT license.
Documentation: yes
Application: No
Support: Maybe

MR: No to Accessibility (lacks license); Yes to Documentation; No to Application; No to Support.",
11/12/2019,CoreSimul,6,1.605571848,Review,Lacking list of citations for CoreSimul,CoreSimul,Yes,CoreSimul was published in a peer-reviewed journal,No,No application was listed.,Yes,"CoreSimul was cited three times in 2020, not sure if they are applicaiton though.",NO,"CoreSimul is a decent package, on github. ","Accessibility: lack license
Documentation: yes
Application: lack list
Support: yes (but no ticket)

HSC:  
Accessibility: No
Documentation: Yes
Application: No
Support:  No 

MR: No to Accessibility (no license); Yes to Documentation; No to Application (potential yes if added to tab); Yes to Support (empty issue tracker).
",
11/20/2018,cscGAN,42,8.907611854,Review,scGAN does not have a sufficient application.,cscGAN,Yes,scGAN is published in a peer-reviewed journal.,No,No citations are listed under the applications tab of scGAN’s GSR entry.”.,Yes,scGAN has been cited over 5 times in the past 5 years.,NO,"Accessibility: yes
Documentation: yes
Application: no
Support: yes","scGAN/cscGAN is a high quality simulator for scSeq data and actively maintained. It has been cited 32 times. However, I could not locate a single article that uses the simulator for some applications. All articles discussed simulation method, neural network, potential application etc.

MR: Yes to Accessibility. Yes to Documentation. Maybe to Application (5 cit in past 5 years). Yes to Support.

HSC- Not sure about Application.  Yes to all  others",
4/5/2014,CuReSim,42,4.494283201,Review,"CuReSim has been actively used by others although its GSR entry does not list any application.

LM - just need to update the application tab.",CuReSim,Yes,CuReSim  is published in BMC Bioinformatics.,No,No application is listed at the applications tab of the GSR entry of CuReSim .,Yes,CuReSim has been cited more than 20 times in the past few years.,NO,"CuReSim has been actively used. Although it is not open source, it could be certified for documentation and applications if the authors are willing to work with us to update its GSR entry.","LM - I would consider yes to Documentation and no to Ac, App and Support.  Though Application could be easily fixed.",
4/1/2009,DAWG,68,4.735737455,Review,"DAWG has been cited and used, but the applications are not listed on GSR.",DAWG,Yes,"DAWG was published in peer-reviewed journal, Bioinformatics.
The publication described the simulation method and applications clearly.",No,No example publication using DAWG has been provided in the “Applications” tab of the GSR entry of the simulator.,Yes,DAWG is used and cited by at least 5 external users in the past 5 years.,NO,DAWG is a well-maintained package and the author has been supportive. I assume that the author could add some sample applications to get fully certified.,"DAWG is reasonably maintained for a 10+ year old package. It could be fully supported if the authors is willing to update its GSR entry and add more information about its documentation.

Accessibility: yes
Documentation: needs work
Application: needs work
Support: yes

MR: Yes to Accessibility, Documentation (we could easily fix GSR), and Support. No to Application.",
12/3/2015,DHOEM,0,0,X,DHOEM was not cited,DHOEM,No,DHOEM was published in peer-review journal,No,No application is listed for DHOEM,No,DHOEM was not cited,NO,"Accessibility: no, on sourceforge, no license is found
Documentation: No
Application: No, Not cited. 
Support: No issue tracker
",,
